layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],10,contig_best,original,1.1,0.988699996471405,0.0893,1
[0],10,contig_best,original,1.1,0.9886000096797943,0.0893,-2
[0],10,contig_best,original,1.1,0.6575000047683716,0.2025,-1
[0],100,contig_best,original,1.1,0.9885999917984009,0.0894,1
[0],100,contig_best,original,1.1,0.9885999977588653,0.0893,-2
[0],100,contig_best,original,1.1,0.5669000029563904,0.4124,-1
[0],1000,contig_best,original,1.1,0.9878999948501587,0.0893,1
[0],1000,contig_best,original,1.1,0.9886000096797943,0.0893,-2
[0],1000,contig_best,original,1.1,0.37060000002384186,0.6696,-1
[0],10000,contig_best,original,1.1,0.9879999995231629,0.0895,1
[0],10000,contig_best,original,1.1,0.9885999977588653,0.0893,-2
[0],10000,contig_best,original,1.1,0.41630000472068784,0.6045,-1
[0],100000,contig_best,original,1.1,0.9878000020980835,0.0894,1
[0],100000,contig_best,original,1.1,0.9885999977588653,0.0893,-2
[0],100000,contig_best,original,1.1,0.4516999989748001,0.5708,-1
[1],10,contig_best,original,1.1,0.9885999917984009,0.0893,1
[1],10,contig_best,original,1.1,0.9885999977588653,0.0893,-2
[1],10,contig_best,original,1.1,0.8033999979496003,0.2329,-1
[1],100,contig_best,original,1.1,0.9886000037193299,0.0893,1
[1],100,contig_best,original,1.1,0.9885999977588653,0.0893,-2
[1],100,contig_best,original,1.1,0.5421999990940094,0.4871,-1
[1],1000,contig_best,original,1.1,0.9885999917984009,0.0893,1
[1],1000,contig_best,original,1.1,0.9886000096797943,0.0893,-2
[1],1000,contig_best,original,1.1,0.5043999969959259,0.5021,-1
[1],10000,contig_best,original,1.1,0.9880999863147736,0.0894,1
[1],10000,contig_best,original,1.1,0.9885999917984009,0.0893,-2
[1],10000,contig_best,original,1.1,0.5122000098228454,0.4897,-1
[1],100000,contig_best,original,1.1,0.5949999928474426,0.4809,20000
[1],100000,contig_best,original,1.1,0.9885999977588653,0.0893,-2
[1],100000,contig_best,original,1.1,0.6141000032424927,0.458,-1
[2],10,contig_best,original,1.1,0.9885999977588653,0.0893,1
[2],10,contig_best,original,1.1,0.9885999977588653,0.0893,-2
[2],10,contig_best,original,1.1,0.9879000008106231,0.0893,-1
[2],100,contig_best,original,1.1,0.751200008392334,0.3296,5000
[2],100,contig_best,original,1.1,0.9885999977588653,0.0893,-2
[2],100,contig_best,original,1.1,0.6710999965667724,0.4025,-1
[2],1000,contig_best,original,1.1,0.7418000102043152,0.3361,2000
[2],1000,contig_best,original,1.1,0.9885999917984009,0.0893,-2
[2],1000,contig_best,original,1.1,0.5952000021934509,0.4623,-1
[2],10000,contig_best,original,1.1,0.665800005197525,0.4151,1000
[2],10000,contig_best,original,1.1,0.9885999977588653,0.0893,-2
[2],10000,contig_best,original,1.1,0.5264000058174133,0.5091,-1
[2],100000,contig_best,original,1.1,0.9887000024318695,0.0894,1
[2],100000,contig_best,original,1.1,0.9886000096797943,0.0893,-2
[2],100000,contig_best,original,1.1,0.5124000102281571,0.5409,-1
[3],10,contig_best,original,1.1,0.8510999917984009,0.2317,1000
[3],10,contig_best,original,1.1,0.9885999917984009,0.0893,-2
[3],10,contig_best,original,1.1,0.7740000009536743,0.3054,-1
[3],100,contig_best,original,1.1,0.7856000065803528,0.2954,1000
[3],100,contig_best,original,1.1,0.9886000037193299,0.0893,-2
[3],100,contig_best,original,1.1,0.7210999965667725,0.3444,-1
[3],1000,contig_best,original,1.1,0.9885999977588653,0.0893,1
[3],1000,contig_best,original,1.1,0.9886000037193299,0.0893,-2
[3],1000,contig_best,original,1.1,0.6246999979019165,0.4419,-1
[3],10000,contig_best,original,1.1,0.6278999984264374,0.4565,1000
[3],10000,contig_best,original,1.1,0.9885999977588653,0.0893,-2
[3],10000,contig_best,original,1.1,0.6662000000476838,0.4122,-1
[3],100000,contig_best,original,1.1,0.38059999942779543,0.7066,1000
[3],100000,contig_best,original,1.1,0.9885999917984009,0.0893,-2
[3],100000,contig_best,original,1.1,0.5299999952316284,0.5512,-1
