layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.985174415589765,0.963953488372093,10000
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.9350999919176102,0.9168,-3
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.9350999919176102,0.9168,-1
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.9653999946713447,0.5407,-2
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9959302315878313,0.9959302325581395,8100
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9583999941945076,0.9684,-3
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9546999934315682,0.9713,-1
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9653999946713447,0.5407,-2
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.997383720306463,0.9982558139534884,10000
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.962299994289875,0.9839,-3
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9621999940276146,0.9841,-1
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9653999942541123,0.5407,-2
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.2,0.9953488361003787,0.9933139534883721,6900
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.2,0.963399994134903,0.915,-3
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.2,0.9533999940156936,0.9497,-1
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.2,0.9653999938964843,0.5407,-2
